Text,Language
"So niaje aje, Paulo alikuwa bado akispit vitisho za kumada ma disciple. Akaishia kwa kuhani mumeja",Sheng
"Akamshow niasaje, amgei ma letter kwa zile synagogue za majuu, huko Damascus, njo ibidi, akisaka mse any alibelong kwa wokovu, either manzi au boi, ikuwe ni jela hadi",Sheng
Jerusa.,Sheng
"Akikaribia kwa safari, akiona Damascus na far,pap! ki light kikatokea huratiti ikaflash imemsurround.",Sheng
"Akadunda kwa grao na kuskia sound ya voice ikimshow, ""saul, Saul, niaje unanihanda na persecution?'",Sheng
"Saul akaulizia, ""Boss, we ni nani?"" ""Mi ni Jesus, mwenye una persecute.""",Sheng
"""Sa ebu rauka ufike tao, utashoiwa niaje uta do.""",Sheng
"Majamaa walikuwa msafara wakabaki speechless; wanaskia tu masauti tu, lakini hawacheki ni nani.",Sheng
"Saul akastand up toka kwa grao, lakini venye alifungua macho akaget kumezimwa taa, hacheki any. So wakampeleka hand in hand hadi Damascus.",Sheng
"Siku tatu zimefuatana, jamaa alikuwa mblind, hadi hangemanga ama kudrink anything.",Sheng
"Akikuaga Damascua kulikuwa na disciple nifla alimeseka ka Ananias. Sir Godi akamwita niaje, kwa vision, 'Ananias!' akaitika, ""Sema Bwana"".",Sheng
"Sir Godi akamshow, Ishia hadi kwa mbanyu ya Judee huko Straight Street uulizie boy fulani toka majuu Tarsus anameseka ka Saulo, je ako juu ya maombi.",Sheng
"Ndani ya vision ameshoiwa msee anaitwa Ananias akicome kuwekelea mikono juu yake njo aanze kuona tena.""",Sheng
"""Boss,"" Ananias akaanza kuteta, ""Nishaget ma reports za huyo mse, na vile amewa doiya ma saints wako damage huko Jerusaa.",Sheng
Na ati amekam hapa na warrant toka kwa bez ya makuhani ku arrest wadhi wote wenye wanaku worship wakicall on jina yako.,Sheng
"Lakini Sir Godi akainsistia Ananaina, ""Ebu enda! Huyu ni mse wangu chosen kabisa, ka tool ya ku carry name yangu mbele ya ma gentiles na masonkwo wao na hadi mbele wa",Sheng
"Nitamshow vile ile level lazima a go through suffering ju ya jina yangu.""",Sheng
"BAsi ikabidi. Ananias akago hadi kwa hao yenye alishoiwa akajidunga bez. Akawekelea mikono zake juu ya Saulo, akamshow niaje, ""Ndugu Saul, Bwana -Yesu Kristo, mwenye",Sheng
"alikutokezeaga vile ulikuwa ukicome hivi hapa- asha nisend kwako that uweze kucheki tena na ufilliwe na Holy Spirit.""",Sheng
"Mara hio hio, masomething ka scales zikadunda from macho za Saul, na akaanza kucheki tena. Akarauka akabaptiziwa,",Sheng
"Baada ya mango, akaget nguvu zake tena. So Saulo akaspend masiku kadhaa na majenerali wa JC pale Damascus.",Sheng
Mara moja akabegin ku unleash neno kwa synagogue vile that JC njo the Son wa sir Godi.,Sheng
"Wadhii wote wenye walimskia walikuwa in shock hadi wakauliza, ""si huyu njo dude alibring mayhem huko Jerusaa kati ya wadhii wenye wali call on the name? Na Bado. Si",Sheng
"alikam hapa kushika wengine ka ma prisoners wa ma high priest?""",Sheng
"Anyway, Saulo alizidi, hadi akagrow more powerful na kushangaza wayahudi walikuwa wakipoleaga Damascus kwa kuwa provia that enyewe JC njo the Christ.",Sheng
"Baada ya madays mingi kupita, wayahudi wakaplot kum assasinate,",Sheng
Lakini Saul akamesea plot yao. Usiku na mchana walimsurvey gate za jiji njo wapate kum murder.,Sheng
Lakini mafans wakamsafirisha usiku wakamshusha ki clandestine ndani ya kikapu kupitia kampenyo kwa wall.,Sheng
"Vile ali arrive Jerusa, alitry kujoin ma disciple wengine kikaumana, walikuwa bado wamegwaya juu yake na historia yake, hawangeamini ati saa alikuwa disciple cha ukwela.",Sheng
"Lakini Barnabas akamchukua akampeleka hadi kwa wale mapapa wa church. Akawashow life story ya Saul, vile kwa msafara kuishia Damascusalikuwa amecheki Bwana Yesu",Sheng
"na hadi vile Jesus alimbongesha, alafu vile akiwa Damascus alikuwa amedunga injili na mioto bila fear in the name of Jesus.",Sheng
So Saulo akapoleaga nao wakiishia maziara bila stress Jerusa wakipreach ki harden Â kwa ile jina ya Jesus.,Sheng
"Alibonga na kuletana kwa debate na wayahudi wa origin ya greece, lakini majamaa wakatry kum mada.",Sheng
"Vile ma bruzza walimesea iyo plot, walimkwachu na kumpeleka hadi Caesarea hadi wakamtuma off majuu hadi Tarsus.",Sheng
"Church yote places zote Judea, Galilee na Samaria walienjoy time ya amani. Ikaongezewa strength na encouragement by Holy Spirit, ikagrow namba ya mamemba, wakiishi kwa fear na kurespect Sir Godi.",Sheng
"Vile Peter ali safiri hapa na pale kwa nchi, aliishia kuvisit wadhii saints huko Lydda.",Sheng
"Hapo akaget jamaa aliitwa Aeneas, mse paralytic na alikuwaga amelazwa bed miaka nane.",Sheng
"Peter akamshow,""Aeneas, Jesus Christ anakuheal. Rauka ushughulikie mat yako."" Mara hio hio Aeneas akarauka.",Sheng
"Wananchi wa Lydda na Sharon walimcheki hivi, wakaamua ni idhaa ya kuokoka na kumesea sir Godi.",Sheng
"Pale Joppa kulikuwa na disciple fulani kwa jina Tabitha(Ukiitranslate, ni Dorcas), alikuwaga on the daily ana do stuff poa na akihelp wasee msoto.",Sheng
"Saa iyo tu maidhaa idhaa akakuwa msick hadi akakick, body yake ikaoshwa halafu ika placeiwa kwa room fulani upstairs.",Sheng
"Lydda ilikuwa tu place karibu na Jopa; kwa hivo vile ma disciple waliskia ati Pitaa ako Lydda, wakamtumania teke, maboy wawili kumwuliza, ""Please, ebu tokezea mara hio hio!""",Sheng
"Pitaa akachomoka nao, na vile alidondoka pale, alipelekwa upstairs kwa ile room. Widows wote walimzunguka tu na ma ngwee, wakinshow zile gowns na makladi that Dorcas",Sheng
alikuwa amewasukia vile alikuwa bado alive nao.,Sheng
"Pitaa akawafukuza kwa room, akashuka kwa magoti akapray. Akapinduka kucheki yule mathe maiti, akasema, ""Tabitha, ebu rauka."" Dada akafungua macho aisee! akacheki",Sheng
Pitaa aka sit up.,Sheng
Akamchukua na mkono akamhelp kustand kwa miguu yake. Kisha akaita ma belivers na wajane akampresent kwao akiwa alive.,Sheng
"Story ikasambazwa Joppa yothes kupitia duru za kuaminika mse wangu, hadi wasee umati wakaaminia sir Godi.",Sheng
"Of course kwa ziara ya mbe, Josee aliwashow mabruzza wake his real self, na Pharaoh akajifunza stori ya famo ya man Josee.",Sheng
"After hapo, Josee alitumanisha mzae wake Jacob aletwe na hadi famo yake nzima, wasee Sevente faee wote.",Sheng
"Halo njo Jacob akaishia down hadi Egypt, place ye na wahenga walidie.",Sheng
"Maiti zao tu njo zilirudishwa hadi Shechem na kuwekwa ndani ya grave yenye buzzenga Abraham alikuwa ameboti from mavijanaa wa Hamor pale tu Shechem, wakamkanja mundee fulani.",Sheng
"Sa ikawa isVipi! Maidhaa zimeshafika za Sir Godi Ku come through na promise yake kwa Abraham, hesabu ya wadhii wetu Egypt ilikuwa juu kinyama.",Sheng
Sonkwo fulani {politician sana} mwenye hakumesea any ju ya Man Josee akarauka kutawala Egypt.,Sheng
"Akadeal kimangoto vi excess na mamtu wetu na akawa oppress wahenga by kuwa force watupe watoi wao, wenye walikuwa wamezaliwa tu ati njo wadedi.",Sheng
"""Mara iyo iyo Mosee akaboniwa, na ye hakuwa katoi ordinaree."" Miezi tatu, walim take care kwa hao ya fadhe wake.",Sheng
"Vile aliwekwa nje, dotee wa Sonkwo wa hiyo day, pharaoh akamkwachu na kulea ka mtoi wake personal.",Sheng
"Mose akaishia chuo za ki barbie za them days, akashoiwa kismat yote ya ma Egyptians.Ikabidi lugha yake ni mambo yote, na pia ma action zikakuwa juu.",Sheng
"""Vile Mose alidunga forty, alidecide tu siku moja kuvisit wasee wake ma Israelites.",Sheng
"Akacheki mmoja wao amehandwa na Mu egyptian mbaya, so ya akaishia kumwokolea na katika ile hali akamlipishia kwa kumada mu egyptian.",Sheng
"Mose alikuwa anaunganisha ati mamtus wake wangemesea that Sir Godi alikuwa anam use kuwaokolea, lakini hawakunyita.",Sheng
"Siku next Mose akapatana na ma israelite mbe wikifungulia war. Akatry kubring peace talks akiwashow, 'Maboy, nyi mi ma bro, niaje mmeamua kuumizana.?'",Sheng
"Lakini yule first bondi kati yao akapush Mosee kando akimshow,' Tangu lini. Nani alikumake dozi ju yetu ati ukuwe njo judge?",Sheng
"Ama umeplani kunimada ka yule mse wa jana wa egypt?""",Sheng
"Mosee kuskia ivo, akajikata spidi hadi Midian, place alitulia ka refugee na kwa ile hali akaget watoi maboi mtu mbili.",Sheng
"So niaje aje, Paulo alikuwa bado akispit vitisho za kumada ma disciple. Akaishia kwa kuhani mumeja",Sheng
"Akamshow niasaje, amgei ma letter kwa zile synagogue za majuu, huko Damascus, njo ibidi, akisaka mse any alibelong kwa wokovu, either manzi au boi, ikuwe ni jela hadi",Sheng
Jerusa.,Sheng
"Akikaribia kwa safari, akiona Damascus na far,pap! ki light kikatokea huratiti ikaflash imemsurround.",Sheng
"Akadunda kwa grao na kuskia sound ya voice ikimshow, ""saul, Saul, niaje unanihanda na persecution?'",Sheng
"Saul akaulizia, ""Boss, we ni nani?"" ""Mi ni Jesus, mwenye una persecute.""",Sheng
"""Sa ebu rauka ufike tao, utashoiwa niaje uta do.""",Sheng
"Majamaa walikuwa msafara wakabaki speechless; wanaskia tu masauti tu, lakini hawacheki ni nani.",Sheng
"Saul akastand up toka kwa grao, lakini venye alifungua macho akaget kumezimwa taa, hacheki any. So wakampeleka hand in hand hadi Damascus.",Sheng
"Siku tatu zimefuatana, jamaa alikuwa mblind, hadi hangemanga ama kudrink anything.",Sheng
"Akikuaga Damascua kulikuwa na disciple nifla alimeseka ka Ananias. Sir Godi akamwita niaje, kwa vision, 'Ananias!' akaitika, ""Sema Bwana"".",Sheng
"Sir Godi akamshow, Ishia hadi kwa mbanyu ya Judee huko Straight Street uulizie boy fulani toka majuu Tarsus anameseka ka Saulo, je ako juu ya maombi.",Sheng
"Ndani ya vision ameshoiwa msee anaitwa Ananias akicome kuwekelea mikono juu yake njo aanze kuona tena.""",Sheng
"""Boss,"" Ananias akaanza kuteta, ""Nishaget ma reports za huyo mse, na vile amewa doiya ma saints wako damage huko Jerusaa.",Sheng
Na ati amekam hapa na warrant toka kwa bez ya makuhani ku arrest wadhi wote wenye wanaku worship wakicall on jina yako.,Sheng
"Lakini Sir Godi akainsistia Ananaina, ""Ebu enda! Huyu ni mse wangu chosen kabisa, ka tool ya ku carry name yangu mbele ya ma gentiles na masonkwo wao na hadi mbele wa",Sheng
"Nitamshow vile ile level lazima a go through suffering ju ya jina yangu.""",Sheng
"BAsi ikabidi. Ananias akago hadi kwa hao yenye alishoiwa akajidunga bez. Akawekelea mikono zake juu ya Saulo, akamshow niaje, ""Ndugu Saul, Bwana -Yesu Kristo, mwenye",Sheng
"alikutokezeaga vile ulikuwa ukicome hivi hapa- asha nisend kwako that uweze kucheki tena na ufilliwe na Holy Spirit.""",Sheng
